dep;codpro;pro;codmun;mun;area;PobCab16;PobRes16;centro;texto;altura;La;Lo
Antioquia;10;Valle del Aburra;5001;Medellin;387;2457680;29043;1;Medellin,Antioquia;1479,809937;6,244203;-75,5812119
Antioquia;7;Oriente;5002;Abejorral;497;6724;12471;NA;Abejorral,Antioquia;2157,151611;5,788693;-75,428603
Antioquia;6;Occidente;5004;Abriaqui;293;738;1337;NA;Abriaqui,Antioquia;1992,239746;6,634555;-76,06574
Antioquia;7;Oriente;5021;Alejandria;151;1808;1627;NA;Alejandria,Antioquia;1631,778442;6,37488;-75,141637
Antioquia;8;Suroeste;5030;Amaga;85;16973;12797;NA;Amaga,Antioquia;1402,969849;6,037113;-75,702277
Antioquia;4;Nordeste;5031;Amalfi;1224;12359;9894;NA;Amalfi,Antioquia;1553,320679;6,906448;-75,073161
Antioquia;8;Suroeste;5034;Andes;449;23016;23205;1;Andes,Antioquia;1293,356567;5,656421;-75,879654
Antioquia;8;Suroeste;5036;Angelopolis;87;5384;3698;NA;Angelopolis,Antioquia;1873,00647;6,112769;-75,711639
Antioquia;5;Norte;5038;Angostura;392;1798;9442;NA;Angostura,Antioquia;1696,260132;6,885648;-75,335829
Antioquia;4;Nordeste;5040;Anori;1447;6903;10401;NA;Anori,Antioquia;1587,017822;7,073562;-75,147287
Antioquia;6;Occidente;5042;Santafe de Antioquia;499;15799;8925;1;Santafe+de+Antioquia,Antioquia;572,6455078;6,557179;-75,827129
Antioquia;6;Occidente;5044;Anza;256;1268;6312;NA;Anza,Antioquia;625,9290771;6,301106;-75,853255
Antioquia;9,1;Uraba Norte;5045;Apartado;607;159174;24542;1;Apartado,Antioquia;29,81542778;7,882761;-76,624692
Antioquia;9,1;Uraba Norte;5051;Arboletes;718;17374;23835;NA;Arboletes,Antioquia;11,10187244;8,850104;-76,427089
Antioquia;7;Oriente;5055;Argelia;257;2512;6066;NA;Argelia,Antioquia;1750,737061;5,730859;-75,142186
Antioquia;6;Occidente;5059;Armenia;111;1555;2555;NA;Armenia,Antioquia;1807,898438;6,157059;-75,786783
Antioquia;10;Valle del Aburra;5079;Barbosa;208;23428;27408;NA;Barbosa,Antioquia;1282,856567;6,438791;-75,334099
Antioquia;5;Norte;5086;Belmira;279;1953;4870;NA;Belmira,Antioquia;2508,430664;6,606241;-75,666528
Antioquia;10;Valle del Aburra;5088;Bello;151;458196;6418;NA;Bello,Antioquia;1461,489258;6,3367288;-75,5595887
Antioquia;8;Suroeste;5091;Betania;170;3854;5334;NA;Betania,Antioquia;1560,27832;5,746649;-75,977569
Antioquia;8;Suroeste;5093;Betulia;255;5869;11737;NA;Betulia,Antioquia;1639,702881;6,11278;-75,98467
Antioquia;8;Suroeste;5101;Ciudad Bolivar;285;16188;10769;NA;Ciudad+Bolivar,Antioquia;1240,623901;5,852476;-76,0218469
Antioquia;5;Norte;5107;Briceno;406;2568;6124;NA;Briceno,Antioquia;1234,196777;7,112884;-75,550674
Antioquia;6;Occidente;5113;Buritica;368;1568;4998;NA;Buritica,Antioquia;1603,236938;6,721917;-75,905976
Antioquia;2;Bajo Cauca;5120;Caceres;1996;8949;29901;NA;Caceres,Antioquia;97,1530304;7,579029;-75,349545
Antioquia;8;Suroeste;5125;Caicedo;224;1643;6632;NA;Caicedo,Antioquia;1785,731689;6,405354;-75,984309
Antioquia;10;Valle del Aburra;5129;Caldas;152;62200;16556;NA;Caldas,Antioquia;1739,507568;6,094317;-75,633347
Antioquia;5;Norte;5134;Campamento;202;2892;6143;NA;Campamento,Antioquia;1702,184937;6,979498;-75,2966019
Antioquia;6;Occidente;5138;Canasgordas;396;6762;9989;NA;Canasgordas,Antioquia;1287,665894;6,750597;-76,02611
Antioquia;3;Magdalena Medio;5142;Caracoli;263;3117;1452;NA;Caracoli,Antioquia;617,2858887;6,408749;-74,7576179
Antioquia;8;Suroeste;5145;Caramanta;87;3006;2334;NA;Caramanta,Antioquia;2114,914551;5,548956;-75,643707
Antioquia;9,1;Uraba Norte;5147;Carepa;384;44210;13010;NA;Carepa,Antioquia;35,99022675;7,755354;-76,6554309
Antioquia;7;Oriente;5148;El Carmen de Viboral;453;30887;16453;NA;El+Carmen+de+Viboral,Antioquia;2161,674316;6,082178;-75,337384
Antioquia;5;Norte;5150;Carolina;168;2921;662;NA;Carolina,Antioquia;1784,324341;6,724917;-75,282299
Antioquia;2;Bajo Cauca;5154;Caucasia;1058;94762;20140;1;Caucasia,Antioquia;56,12236404;7,979698;-75,1985629
Antioquia;9,1;Uraba Norte;5172;Chigorodo;615;68385;9763;NA;Chigorodo,Antioquia;33,31145096;7,665099;-76,67749
Antioquia;4;Nordeste;5190;Cisneros;47;7552;1446;NA;Cisneros,Antioquia;1037,391113;6,538376;-75,087067
Antioquia;7;Oriente;5197;Cocorna;221;3966;10998;NA;Cocorna,Antioquia;1294,508911;6,057265;-75,185598
Antioquia;7;Oriente;5206;Concepcion;169;1420;1955;NA;Concepcion,Antioquia;1829,685547;6,394353;-75,256581
Antioquia;8;Suroeste;5209;Concordia;234;8621;11944;NA;Concordia,Antioquia;1950,601807;6,044979;-75,908354
Antioquia;10;Valle del Aburra;5212;Copacabana;71;62084;8951;NA;Copacabana,Antioquia;1507,137573;6,357621;-75,505078
Antioquia;9,2;Uraba Sur;5234;Dabeiba;1905;8944;14336;1;Dabeiba,Antioquia;417,5454712;6,997374;-76,256824
Antioquia;5;Norte;5237;Don Matias;183;14973;7753;NA;Don+Matias,Antioquia;2158,996826;6,485702;-75,393831
Antioquia;6;Occidente;5240;Ebejico;238;2232;10278;NA;Ebejico,Antioquia;1156,52417;6,326906;-75,767345
Antioquia;2;Bajo Cauca;5250;El Bagre;1951;26010;23903;NA;El+Bagre,Antioquia;51,65923691;7,6056826;-74,8062648
Antioquia;5;Norte;5264;Entrerrios;222;5276;4826;NA;Entrerrios,Antioquia;2300,843262;6,566146;-75,516908
Antioquia;10;Valle del Aburra;5266;Envigado;51;219991;7653;NA;Envigado,Antioquia;1569,911743;6,1696109;-75,5873636
Antioquia;8;Suroeste;5282;Fredonia;250;8578;12848;NA;Fredonia,Antioquia;1800,891479;5,927245;-75,671007
Antioquia;6;Occidente;5284;Frontino;1278;6860;9451;NA;Frontino,Antioquia;1338,790527;6,777958;-76,132917
Antioquia;6;Occidente;5306;Giraldo;97;1306;2703;NA;Giraldo,Antioquia;1972,619385;6,680623;-75,953096
Antioquia;10;Valle del Aburra;5308;Girardota;79;33259;22231;NA;Girardota,Antioquia;1408,556641;6,378322;-75,449517
Antioquia;5;Norte;5310;Gomez Plata;364;6009;6955;NA;Gomez+Plata,Antioquia;1848,265259;6,683248;-75,221769
Antioquia;7;Oriente;5313;Granada;185;3642;6224;NA;Granada,Antioquia;2127,914551;6,139621;-75,183586
Antioquia;5;Norte;5315;Guadalupe;88;2118;4188;NA;Guadalupe,Antioquia;1843,309814;6,813952;-75,240103
Antioquia;7;Oriente;5318;Guarne;153;18032;30627;NA;Guarne,Antioquia;2139,82666;6,279597;-75,442627
Antioquia;7;Oriente;5321;Guatape;70;4145;1086;NA;Guatape,Antioquia;1934,289795;6,231137;-75,153467
Antioquia;6;Occidente;5347;Heliconia;118;3047;2790;NA;Heliconia,Antioquia;1399,691406;6,208781;-75,732944
Antioquia;8;Suroeste;5353;Hispania;59;3238;1636;NA;Hispania,Antioquia;981,1425781;5,799059;-75,907993
Antioquia;10;Valle del Aburra;5360;Itagui;17;248020;22883;NA;Itagui,Antioquia;1577,947144;6,1675682;-75,6146712
Antioquia;5;Norte;5361;Ituango;2375;5820;14808;NA;Ituango,Antioquia;1587,08606;7,172607;-75,76468
Antioquia;8;Suroeste;5364;Jardin;227;7212;6461;NA;Jardin,Antioquia;1773,015015;5,596767;-75,819361
Antioquia;8;Suroeste;5368;Jerico;195;8517;3499;NA;Jerico,Antioquia;1983,651123;5,790513;-75,776082
Antioquia;7;Oriente;5376;La Ceja;133;46447;6914;NA;La+Ceja,Antioquia;2138,68335;6,027632;-75,431596
Antioquia;10;Valle del Aburra;5380;La Estrella;35;36061;27274;NA;La+Estrella,Antioquia;1711,828979;6,138751;-75,635586
Antioquia;8;Suroeste;5390;La Pintada;55;5743;764;NA;La+Pintada,Antioquia;590,5940552;5,746942;-75,606403
Antioquia;7;Oriente;5400;La Union;200;10843;8386;NA;La+Union,Antioquia;2474,081543;5,973839;-75,3609759
Antioquia;6;Occidente;5411;Liborina;220;1755;7791;NA;Liborina,Antioquia;704,7393188;6,67745;-75,811744
Antioquia;3;Magdalena Medio;5425;Maceo;436;2843;3932;NA;Maceo,Antioquia;944,9021606;6,551367;-74,787294
Antioquia;7;Oriente;5440;Marinilla;116;42726;11460;NA;Marinilla,Antioquia;2118,666504;6,176967;-75,341462
Antioquia;8;Suroeste;5467;Montebello;84;2011;4066;NA;Montebello,Antioquia;2331,332275;5,946487;-75,52395
Antioquia;9,2;Uraba Sur;5475;Murindo;1365;959;3733;NA;Murindo,Antioquia;8;6,98104;-76,82119
Antioquia;9,2;Uraba Sur;5480;Mutata;1119;5654;15423;NA;Mutata,Antioquia;133,6243744;7,244106;-76,436567
Antioquia;7;Oriente;5483;Narino;317;2505;14981;NA;Narino,Antioquia;1619,137085;5,611015;-75,174162
Antioquia;9,1;Uraba Norte;5490;Necocli;1377;15846;48145;NA;Necocli,Antioquia;25,20912361;8,427174;-76,787678
Antioquia;2;Bajo Cauca;5495;Nechi;925;14510;12728;NA;Nechi,Antioquia;30,69469643;8,088419;-74,776327
Antioquia;6;Occidente;5501;Olaya;91;264;3014;NA;Olaya,Antioquia;440,6173096;6,62999;-75,81665
Antioquia;7;Oriente;5541;Penol;145;9210;6638;NA;Penol,Antioquia;1957,152954;6,2199662;-75,2435307
Antioquia;6;Occidente;5543;Peque;397;2086;8978;NA;Peque,Antioquia;1195,383423;7,021535;-75,908107
Antioquia;8;Suroeste;5576;Pueblorrico;86;3558;3355;NA;Pueblorrico,Antioquia;1804,6875;5,794161;-75,840589
Antioquia;3;Magdalena Medio;5579;Puerto Berrio;1198;42909;4808;1;Puerto+Berrio,Antioquia;98,61203003;6,477755;-74,4088
Antioquia;3;Magdalena Medio;5585;Puerto Nare;668;8134;10712;NA;Puerto+Nare,Antioquia;128,797226;6,186497;-74,583726
Antioquia;3;Magdalena Medio;5591;Puerto Triunfo;365;6316;14167;NA;Puerto+Triunfo,Antioquia;149,3918457;5,8807;-74,634036
Antioquia;4;Nordeste;5604;Remedios;2008;10929;18969;NA;Remedios,Antioquia;723,6679688;7,027766;-74,692965
Antioquia;7;Oriente;5607;Retiro;276;10153;9157;NA;Retiro,Antioquia;2154,378174;6,060955;-75,502582
Antioquia;7;Oriente;5615;Rionegro;198;80197;42034;1;Rionegro,Antioquia;2087,960205;6,144837;-75,375085
Antioquia;6;Occidente;5628;Sabanalarga;268;2933;5258;NA;Sabanalarga,Antioquia;840,7562866;6,8496962;-75,8180567
Antioquia;10;Valle del Aburra;5631;Sabaneta;15;41946;10608;NA;Sabaneta,Antioquia;1597,372803;6,150559;-75,61682
Antioquia;8;Suroeste;5642;Salgar;423;8891;8648;NA;Salgar,Antioquia;1205,219604;5,963336;-75,963942
Antioquia;5;Norte;5647;San Andres de Cuerquia;179;2527;3599;NA;San+Andres+de+Cuerquia,Antioquia;1511,432983;6,913245;-75,67556
Antioquia;7;Oriente;5649;San Carlos;710;6026;10060;NA;San+Carlos,Antioquia;990,0544434;6,187979;-74,993227
Antioquia;7;Oriente;5652;San Francisco;368;2454;2768;NA;San+Francisco,Antioquia;1268,9552;5,963428;-75,102138
Antioquia;6;Occidente;5656;San Jeronimo;157;4135;8589;NA;San+Jeronimo,Antioquia;733,4807739;6,442513;-75,728159
Antioquia;5;Norte;5658;San Jose de la Montana;173;2210;1158;NA;San+Jose+de+la+Montana,Antioquia;2589,297119;6,849736;-75,684091
Antioquia;9,1;Uraba Norte;5659;San Juan de Uraba;241;8219;17433;NA;San+Juan+de+Uraba,Antioquia;19,02976227;8,7624549;-76,526738
Antioquia;7;Oriente;5660;San Luis;458;4695;6243;NA;San+Luis,Antioquia;1085,261597;6,042454;-74,995071
Antioquia;5;Norte;5664;San Pedro;232;14346;12713;NA;San+Pedro,Antioquia;2468,495361;6,4608006;-75,5575018
Antioquia;9,1;Uraba Norte;5665;San Pedro de Uraba;482;14327;17212;NA;San+Pedro+de+Uraba,Antioquia;138,4117279;8,275843;-76,379729
Antioquia;7;Oriente;5667;San Rafael;366;6256;6664;NA;San+Rafael,Antioquia;990,8253784;6,293544;-75,028577
Antioquia;4;Nordeste;5670;San Roque;446;6324;10339;NA;San+Roque,Antioquia;1424,48938;6,485831;-75,019623
Antioquia;7;Oriente;5674;San Vicente;246;7398;9569;NA;San+Vicente,Antioquia;2144,467041;6,285815;-75,33422
Antioquia;8;Suroeste;5679;Santa Barbara;188;10298;11619;NA;Santa+Barbara,Antioquia;1786,967163;5,874249;-75,566421
Antioquia;5;Norte;5686;Santa Rosa de Osos;822;19012;17091;NA;Santa+Rosa+de+Osos,Antioquia;2585,753662;6,648271;-75,460901
Antioquia;4;Nordeste;5690;Santo Domingo;274;1964;8328;NA;Santo+Domingo,Antioquia;1965,366577;6,471563;-75,164646
Antioquia;7;Oriente;5697;El Santuario;76;23242;3934;NA;El+Santuario,Antioquia;2122,114258;6,139611;-75,264509
Antioquia;4;Nordeste;5736;Segovia;1246;32315;8373;1;Segovia,Antioquia;679,3842163;7,079604;-74,699095
Antioquia;7;Oriente;5756;Sonson;1339;15051;20005;NA;Sonson,Antioquia;2492,682617;5,712002;-75,309798
Antioquia;6;Occidente;5761;Sopetran;226;7021;7800;NA;Sopetran,Antioquia;746,6903076;6,501534;-75,743398
Antioquia;8;Suroeste;5789;Tamesis;246;6494;8065;NA;Tamesis,Antioquia;1638,670898;5,664999;-75,714701
Antioquia;2;Bajo Cauca;5790;Taraza;1578;27758;16098;NA;Taraza,Antioquia;92,86894226;7,583191;-75,399966
Antioquia;8;Suroeste;5792;Tarso;120;3924;3939;NA;Tarso,Antioquia;1331,265381;5,864925;-75,822403
Antioquia;8;Suroeste;5809;Titiribi;144;8186;6308;NA;Titiribi,Antioquia;1540,22168;6,06259;-75,79341
Antioquia;5;Norte;5819;Toledo;141;1023;5443;NA;Toledo,Antioquia;1825,049072;7,010177;-75,692104
Antioquia;9,1;Uraba Norte;5837;Turbo;3090;65307;98218;NA;Turbo,Antioquia;3,620131731;8,0951588;-76,7284559
Antioquia;6;Occidente;5842;Uramita;239;2603;5627;NA;Uramita,Antioquia;648,6364746;6,896805;-76,171665
Antioquia;8;Suroeste;5847;Urrao;2585;17645;27621;NA;Urrao,Antioquia;1844,536377;6,313861;-76,13181
Antioquia;5;Norte;5854;Valdivia;551;6730;16024;NA;Valdivia,Antioquia;163,0170135;7,29117;-75,39215
Antioquia;8;Suroeste;5856;Valparaiso;132;3376;2776;NA;Valparaiso,Antioquia;1351,362793;5,615156;-75,625274
Antioquia;4;Nordeste;5858;Vegachi;518;5596;3677;NA;Vegachi,Antioquia;974,5042725;6,772879;-74,796476
Antioquia;8;Suroeste;5861;Venecia;143;6873;6358;NA;Venecia,Antioquia;1321,27124;5,963962;-75,735417
