codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
170;Bogotá;Bogotá, D.C., Cundinamarca;11001;Bogotá, D.C.;100;Urbana;Metropolitana;;;;;;;;;;;;;;;36;;;39,6;;;39,7;;41,2;;;43,1;;44,6;;46,4;;;;;;49,9;;;51,6;;;;;;;55,1;;;;;;;;;;;58,2;;;;;;;;;;61;61,7;;;;;;;63,3;;64,4;;;;;;;;;;;;66,4;66,6;66,6;66,6;;;;68,8;69,1;;;70,3;70,4;;;;;;72;;;72,7;;;;;74,4;74,5;;;;75,6;;;;;78;78,1;79,1;79,8;;79,8;;80;;;;;;;83,7;;;;;;;;;;;
100;Valle del Aburrá;Antioquia;5001;Medellín;92,10663701;Urbana;Metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;35,2;;;;;;;40,1;;;;;;;43,7;;;;;;;47,2;;;;;;;;;;;;;51,1;;;;;;;;;53,8;;;;;;55,4;;;;57,1;57,3;57,4;;;57,7;;;58,1;;;;;;;;;;;;;62,1;;;62,8;63,2;63,2;;64,1;;;;64,9;;;;;;;;;;;68;;;;;;;;;;;;;72,2;;;;;;;;;;;;;;;;
130;Norte;Atlántico;8001;Barranquilla;91,21812423;Urbana;Metropolitana;;;;;;;;;;;;;;;;;27,3;;;30,9;;;;;;;;;;;;;39,3;;;;;42,7;;42,9;;;;45,8;;;;;;;;48,9;49,3;49,3;;49,4;;49,7;;;50,9;;;51,6;52,1;;;;;;;;;;;;;;;;;;;;57,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;
1390;Sur;Valle del Cauca;76001;Cali;83,25917373;Urbana;Metropolitana;;;;;;;;;;;;;;;;;;;;;;;;25,7;26,3;;26,6;;;;30,1;;;;;;;;;;36,1;;;;;;;;;40,1;;;;;;;;;42,2;;;;;;;;;;;;;;;;;;;;;;;;;;;49,3;;;;;;;;;;;;;;;;;;;;55,3;;;;;;;;;;;;;;;;;;;;;;;;;63,2;;;;;;;;;;;;;70;;;;;;
1060;Oriente;Norte de Santander;54001;Cúcuta;78,14630204;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,6;33,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,3;;;;;;;;;;;;;;;;50,6;;51,1;;;;;;;;;;;;;;;;;;;;;;;;;59,6;;;;;;;;;;;;;;
190;Dique;Bolívar;13001;Cartagena;76,05419457;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;15,7;15,7;;;;;;;;;;;;;24,1;;;;;;;27,7;;;;30,6;;;;;;;;33,8;34,1;34,1;34,2;34,3;;;;;35,8;;;36,4;37;;;;;;;;;;;;;;;;41,4;41,5;;;41,9;;;42,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,7;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;Centro;Caldas;17001;Manizales;72,5480623;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;13,8;14,9;15,6;;15,8;;;;;20,5;;;;;;;24,2;;25,4;;;;;27,6;;;;29,3;;;;;;;30,8;;31,5;;;;;;;;;34,3;;;;;;35,8;;;37;;;37,9;;;38,1;;;38,6;;;;39,1;39,1;;;;;;;41,8;42,6;;;;;43,7;;44,5;;;;45,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,3;;;;;;;;;;;
1150;Vertiente Oriente;Risaralda;66001;Pereira;72,2830323;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;13,5;14,7;15,3;;15,6;;;18,7;19,2;;;;;;;;23,9;;25,1;;;;27,1;27,3;;;;29,1;;;;;;;30,5;;31,2;;;;;;;;;;;;;;;35,5;;;36,7;;;37,6;;;37,9;;;38,3;;;;;38,9;38,9;;39,9;;;;41,5;;;;;;43,4;;44,3;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,1;;;;;;
1220;Soto;Santander;68001;Bucaramanga;71,79301752;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;;;;;20,4;;;;;23,4;;;;;;;;27,2;27,3;;;;;;;;;;30,3;;31;;;;;;;;33,5;33,8;;;;;;;;;;;;;;;;;;;;38,2;;;;39;;;;40,9;;;;42,2;;;;;;;;44,3;;;;;;;;;;;;47,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;Norte;Quindio;63001;Armenia;71,45296057;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;12,7;13,9;14,5;;14,7;;;17,9;18,3;;;;;;;;;;24,3;;;;;26,5;;;;28,2;;;;;;;29,7;;30,4;;;;;;;;;;;;;;;34,7;;;35,9;;;36,8;;;37;;;37,5;;;;;38;38,1;;39;;;;40,7;;;;;;;;43,4;43,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55,2;;;;;58,2;;;;;;
