codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
170;Bogotá;Bogotá, D.C., Cundinamarca;11001;Bogotá, D.C.;100;Urbana;Metropolitana;;;;;;;;;;;;;;;3271;;;3367;;;20987;;11871;;;7990;;12128;;7295;;;;;;9827;;;16882;;;;;;;15665;;;;;;;;;;;10215;;;;;;;;;;6265;20086;;;;;;;16979;;16502;;;;;;;;;;;;19926;9479;13808;6688;;;;10344;13184;;;4533;12409;;;;;;20333;;;13280;;;;;7023;19006;;;;6876;;;;;18911;18462;12988;18165;;4579;;9618;;;;;;;10057;;;;;;;;;;;
100;Valle del Aburrá;Antioquia;5001;Medellín;92,10663701;Urbana;Metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;20941;;;;;;;3045;;;;;;;18010;;;;;;;21030;;;;;;;;;;;;;18131;;;;;;;;;17090;;;;;;10397;;;;9995;15197;13392;;;5522;;;15178;;;;;;;;;;;;;10741;;;15541;9477;7169;;19946;;;;20594;;;;;;;;;;;19370;;;;;;;;;;;;;18517;;;;;;;;;;;;;;;;
130;Norte;Atlántico;8001;Barranquilla;91,21812423;Urbana;Metropolitana;;;;;;;;;;;;;;;;;18662;;;4412;;;;;;;;;;;;;17694;;;;;16870;;6289;;;;11183;;;;;;;;18609;9989;13479;;14384;;19046;;;4074;;;18275;15108;;;;;;;;;;;;;;;;;;;;9887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20641;;;;;;;;;;;;;;;;;;;;;;;;;;;
1390;Sur;Valle del Cauca;76001;Cali;83,25917373;Urbana;Metropolitana;;;;;;;;;;;;;;;;;;;;;;;;6028;10213;;9224;;;;10413;;;;;;;;;;9351;;;;;;;;;4365;;;;;;;;;15012;;;;;;;;;;;;;;;;;;;;;;;;;;;17894;;;;;;;;;;;;;;;;;;;;14634;;;;;;;;;;;;;;;;;;;;;;;;;19233;;;;;;;;;;;;;9988;;;;;;
1060;Oriente;Norte de Santander;54001;Cúcuta;78,14630204;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17558;6541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19332;;;;;;;;;;;;;;;;3681;;12032;;;;;;;;;;;;;;;;;;;;;;;;;5812;;;;;;;;;;;;;;
190;Dique;Bolívar;13001;Cartagena;76,05419457;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;16130;5867;;;;;;;;;;;;;14278;;;;;;;6631;;;;7778;;;;;;;;11998;17651;17799;21108;10899;;;;;6064;;;13180;8496;;;;;;;;;;;;;;;;19826;18407;;;17548;;;17025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14030;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;Centro;Caldas;17001;Manizales;72,5480623;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;19683;11185;6719;;20883;;;;;21012;;;;;;;15380;;12325;;;;;11857;;;;18425;;;;;;;20947;;6847;;;;;;;;;19105;;;;;;16368;;;16551;;;13571;;;13696;;;8464;;;;20018;21542;;;;;;;11094;20687;;;;;17900;;8481;;;;16016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17773;;;;;;;;;;;
1150;Vertiente Oriente;Risaralda;66001;Pereira;72,2830323;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;17057;7249;2783;;16948;;;21169;20538;;;;;;;;19298;;8390;;;;21415;15776;;;;14489;;;;;;;18045;;5776;;;;;;;;;;;;;;;17649;;;20470;;;16996;;;14977;;;8658;;;;;17429;21562;;18473;;;;15012;;;;;;19182;;5398;;;;19955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20113;;;;;;
1220;Soto;Santander;68001;Bucaramanga;71,79301752;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8626;;;;;12232;;;;;20421;;;;;;;;16519;12066;;;;;;;;;;21296;;10324;;;;;;;;17244;18073;;;;;;;;;;;;;;;;;;;;12470;;;;18733;;;;19348;;;;20349;;;;;;;;16874;;;;;;;;;;;;13585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;Norte;Quindio;63001;Armenia;71,45296057;Urbana;No metropolitana;;;;;;;;;;;;;;;;;;;;;;;14519;5748;4609;;15447;;;18632;19037;;;;;;;;;;4463;;;;;18256;;;;12989;;;;;;;15508;;8404;;;;;;;;;;;;;;;21119;;;19035;;;20466;;;18447;;;11286;;;;;14892;19024;;21101;;;;18482;;;;;;;;8026;21417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20324;;;;;18612;;;;;;
