codmun;Municipio1;codpro;Provincia;Departamento
5001;Medellin;100;Valle del Aburrá;Antioquia
5002;Abejorral;71;Sonsón;Antioquia
5004;Abriaqui;60;Occidente;Antioquia
5021;Alejandria;72;Represas;Antioquia
5030;Amaga;81;Penderisco-Sinifarná;Antioquia
5031;Amalfi;40;Nordeste;Antioquia
5034;Andes;80;Suroeste;Antioquia
5036;Angelopolis;81;Penderisco-Sinifarná;Antioquia
5038;Angostura;50;Norte;Antioquia
5040;Anori;40;Nordeste;Antioquia
5042;Santafe de Antioquia;60;Occidente;Antioquia
5044;Anza;81;Penderisco-Sinifarná;Antioquia
5045;Apartado;91;Urabá Norte;Antioquia
5051;Arboletes;91;Urabá Norte;Antioquia
5055;Argelia;71;Sonsón;Antioquia
5059;Armenia;60;Occidente;Antioquia
5079;Barbosa;100;Valle del Aburrá;Antioquia
5086;Belmira;50;Norte;Antioquia
5088;Bello;100;Valle del Aburrá;Antioquia
5091;Betania;80;Suroeste;Antioquia
5093;Betulia;81;Penderisco-Sinifarná;Antioquia
5101;Ciudad Bolivar;80;Suroeste;Antioquia
5107;Briceno;50;Norte;Antioquia
5113;Buritica;60;Occidente;Antioquia
5120;Caceres;20;Bajo Cauca;Antioquia
5125;Caicedo;81;Penderisco-Sinifarná;Antioquia
5129;Caldas;100;Valle del Aburrá;Antioquia
5134;Campamento;50;Norte;Antioquia
5138;Canasgordas;60;Occidente;Antioquia
5142;Caracoli;30;Magdalena Medio;Antioquia
5145;Caramanta;82;Cartama;Antioquia
5147;Carepa;91;Urabá Norte;Antioquia
5148;El Carmen de Viboral;70;Oriente;Antioquia
5150;Carolina;50;Norte;Antioquia
5154;Caucasia;20;Bajo Cauca;Antioquia
5172;Chigorodo;91;Urabá Norte;Antioquia
5190;Cisneros;40;Nordeste;Antioquia
5197;Cocorna;70;Oriente;Antioquia
5206;Concepcion;72;Represas;Antioquia
5209;Concordia;81;Penderisco-Sinifarná;Antioquia
5212;Copacabana;100;Valle del Aburrá;Antioquia
5234;Dabeiba;92;Urabá Sur;Antioquia
5237;Don Matias;50;Norte;Antioquia
5240;Ebejico;60;Occidente;Antioquia
5250;El Bagre;20;Bajo Cauca;Antioquia
5264;Entrerrios;50;Norte;Antioquia
5266;Envigado;100;Valle del Aburrá;Antioquia
5282;Fredonia;82;Cartama;Antioquia
