Divipola;codmun;Departamento;Municipio;Total;Cabecera;Disperso;Area;Altura; La ; Lo 
5001;5001;Antioquia;Medellín;2427129;2382399;44730;387;1479,809937;6,2;-75,6
5002;5002;Antioquia;Abejorral;20367;7674;12693;497;2157,151611;5,8;-75,4
5004;5004;Antioquia;Abriaquí;2695;824;1871;293;1992,239746;6,6;-76,1
5021;5021;Antioquia;Alejandría;4657;2485;2172;151;1631,778442;6,4;-75,1
5030;5030;Antioquia;Amagá;30227;14184;16043;85;1402,969849;6;-75,7
5031;5031;Antioquia;Amalfi;25962;14508;11454;1224;1553,320679;6,9;-75,1
5034;5034;Antioquia;Andes;43269;20250;23019;449;1293,356567;5,7;-75,9
5036;5036;Antioquia;Angelópolis;5756;2168;3588;87;1873,00647;6,1;-75,7
5038;5038;Antioquia;Angostura;11437;2628;8809;392;1696,260132;6,9;-75,3
5040;5040;Antioquia;Anorí;18321;7634;10687;1447;1587,017822;7,1;-75,1
5042;5042;Antioquia;Santafé de Antioquia;26164;16351;9813;499;572,6455078;6,6;-75,8
5044;5044;Antioquia;Anza;7010;1258;5752;256;625,9290771;6,3;-75,9
5045;5045;Antioquia;Apartadó;121003;98454;22549;607;29,81542778;7,9;-76,6
5051;5051;Antioquia;Arboletes;29295;9747;19548;718;11,10187244;8,9;-76,4
5055;5055;Antioquia;Argelia;7689;3412;4277;257;1750,737061;5,7;-75,1
5059;5059;Antioquia;Armenia;5139;1716;3423;111;1807,898438;6,2;-75,8
5079;5079;Antioquia;Barbosa;51969;22174;29795;208;1282,856567;6,4;-75,3
5086;5086;Antioquia;Belmira;6000;1623;4377;279;2508,430664;6,6;-75,7
5088;5088;Antioquia;Bello;522264;495483;26781;151;1461,489258;6,3;-75,6
5091;5091;Antioquia;Betania;10323;3601;6722;170;1560,27832;5,7;-76
5093;5093;Antioquia;Betulia;15607;4274;11333;255;1639,702881;6,1;-76
5101;5101;Antioquia;Ciudad Bolívar;26118;15604;10514;285;1240,623901;5,9;-76
5107;5107;Antioquia;Briceño;8039;2552;5487;406;1234,196777;7,1;-75,6
5113;5113;Antioquia;Buriticá;9354;2235;7119;368;1603,236938;6,7;-75,9
5120;5120;Antioquia;Cáceres;28996;5355;23641;1996;97,1530304;7,6;-75,3
5125;5125;Antioquia;Caicedo;8297;1657;6640;224;1785,731689;6,4;-76
5129;5129;Antioquia;Caldas;79638;62987;16651;152;1739,507568;6,1;-75,6
5134;5134;Antioquia;Campamento;9203;2466;6737;202;1702,184937;7;-75,3
5138;5138;Antioquia;Cañasgordas;15523;5076;10447;396;1287,665894;6,8;-76
5142;5142;Antioquia;Caracolí;4582;2739;1843;263;617,2858887;6,4;-74,8
5145;5145;Antioquia;Caramanta;4743;2190;2553;87;2114,914551;5,5;-75,6
5147;5147;Antioquia;Carepa;47932;33009;14923;384;35,99022675;7,8;-76,7
5148;5148;Antioquia;El Carmen de Viboral;59416;34187;25229;453;2161,674316;6,1;-75,3
5150;5150;Antioquia;Carolina;3954;2929;1025;168;1784,324341;6,7;-75,3
5154;5154;Antioquia;Caucasia;90213;76772;13441;1058;56,12236404;8;-75,2
5172;5172;Antioquia;Chigorodó;57375;47046;10329;615;33,31145096;7,7;-76,7
5190;5190;Antioquia;Cisneros;9775;8415;1360;47;1037,391113;6,5;-75,1
5197;5197;Antioquia;Cocorná;15444;6293;9151;221;1294,508911;6,1;-75,2
5206;5206;Antioquia;Concepción;4797;1908;2889;169;1829,685547;6,4;-75,3
5209;5209;Antioquia;Concordia;21377;7349;14028;234;1950,601807;6;-75,9
5212;5212;Antioquia;Copacabana;77884;62343;15541;71;1507,137573;6,4;-75,5
5234;5234;Antioquia;Dabeiba;23044;9042;14002;1905;417,5454712;7;-76,3
5237;5237;Antioquia;Don Matías;18902;12081;6821;183;2158,996826;6,5;-75,4
5240;5240;Antioquia;Ebéjico;12158;2229;9929;238;1156,52417;6,3;-75,8
5250;5250;Antioquia;El Bagre;51862;32823;19039;1951;51,65923691;7,6;-74,8
5264;5264;Antioquia;Entrerrios;11159;5643;5516;222;2300,843262;6,6;-75,5
5266;5266;Antioquia;Envigado;228848;215766;13082;51;1569,911743;6,2;-75,6
5282;5282;Antioquia;Fredonia;24408;8031;16377;250;1800,891479;5,9;-75,7
5284;5284;Antioquia;Frontino;20739;8639;12100;1278;1338,790527;6,8;-76,1
5306;5306;Antioquia;Giraldo;5544;2061;3483;97;1972,619385;6,7;-76
5308;5308;Antioquia;Girardota;51662;28652;23010;79;1408,556641;6,4;-75,4
5310;5310;Antioquia;Gómez Plata;9753;5017;4736;364;1848,265259;6,7;-75,2
5313;5313;Antioquia;Granada;10117;5541;4576;185;2127,914551;6,1;-75,2
5315;5315;Antioquia;Guadalupe;6560;2223;4337;88;1843,309814;6,8;-75,2
5318;5318;Antioquia;Guarne;55121;18342;36779;153;2139,82666;6,3;-75,4
5321;5321;Antioquia;Guatapé;8363;5420;2943;70;1934,289795;6,2;-75,2
